pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,generation,height_m,weight_kg,is_legendary,moves,description
1,Bulbasaur,grass,poison,45,49,49,65,65,45,1,0.7,6.9,0,Petal Dance;Body Slam;Grass Pledge;Take Down;Secret Power;Venoshock;Solar Beam;Rock Smash;Sludge Bomb;Giga Drain;Mega Drain;Power Whip;Skull Bash;Round;Headbutt;Mud-Slap;Seed Bomb;Vine Whip;Sludge;Echoed Voice;Razor Leaf;Knock Off;Rage;Energy Ball;Cut;Bullet Seed;Facade;Strength;Double-Edge;Hidden Power;Fury Cutter;Leaf Storm;Snore,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2,Ivysaur,grass,poison,60,62,63,80,80,60,1,1.0,13.0,0,Petal Dance;Body Slam;Grass Pledge;Take Down;Secret Power;Venoshock;Solar Beam;Rock Smash;Sludge Bomb;Giga Drain;Mega Drain;Power Whip;Skull Bash;Round;Headbutt;Mud-Slap;Seed Bomb;Vine Whip;Sludge;Echoed Voice;Razor Leaf;Knock Off;Rage;Energy Ball;Cut;Bullet Seed;Facade;Strength;Double-Edge;Hidden Power;Fury Cutter;Leaf Storm;Snore,When the bulb on its back grows large* it appears to lose the ability to stand on its hind legs.
3,Venusaur,grass,poison,80,100,123,122,120,80,1,2.0,100.0,0,Petal Dance;Body Slam;Grass Pledge;Take Down;Secret Power;Bulldoze;Venoshock;Outrage;Solar Beam;Rock Smash;Sludge Bomb;Giga Drain;Mega Drain;Power Whip;Skull Bash;Round;Headbutt;Mud-Slap;Earthquake;Seed Bomb;Vine Whip;Sludge;Echoed Voice;Rock Climb;Razor Leaf;Knock Off;Frenzy Plant;Rage;Energy Ball;Cut;Bullet Seed;Petal Blizzard;Facade;Hyper Beam;Strength;Double-Edge;Hidden Power;Fury Cutter;Leaf Storm;Snore;Giga Impact,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,Charmander,fire,,39,52,43,60,50,65,1,0.6,8.5,0,Body Slam;Fire Punch;Focus Punch;Dig;Flame Burst;Dynamic Punch;Overheat;Take Down;Secret Power;Outrage;Power-Up Punch;Rock Smash;Mega Kick;Inferno;Skull Bash;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Iron Tail;Scratch;Flame Charge;Thunder Punch;Bite;Slash;Fire Blast;Flamethrower;Echoed Voice;Dragon Claw;Fire Fang;Rage;Crunch;Ancient Power;Heat Wave;Cut;Submission;Fire Pledge;Facade;Dragon Pulse;Strength;Dragon Rush;Dragon Breath;Double-Edge;Incinerate;Metal Claw;Ember;Mega Punch;Hidden Power;Fury Cutter;Air Cutter;Flare Blitz;Snore,Obviously prefers hot places. When it rains* steam is said to spout from the tip of its tail.
5,Charmeleon,fire,,58,64,58,80,65,80,1,1.1,19.0,0,Body Slam;Fire Punch;Focus Punch;Dig;Flame Burst;Dynamic Punch;Overheat;Take Down;Secret Power;Outrage;Power-Up Punch;Rock Smash;Mega Kick;Inferno;Skull Bash;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Iron Tail;Scratch;Flame Charge;Thunder Punch;Bite;Slash;Fire Blast;Flamethrower;Echoed Voice;Dragon Claw;Fire Fang;Rage;Crunch;Ancient Power;Heat Wave;Cut;Submission;Fire Pledge;Facade;Dragon Pulse;Strength;Dragon Rush;Dragon Breath;Double-Edge;Incinerate;Metal Claw;Ember;Mega Punch;Hidden Power;Fury Cutter;Air Cutter;Flare Blitz;Snore,When it swings its burning tail* it elevates the temperature to unbearably high levels.
6,Charizard,fire,flying,78,104,78,159,115,100,1,1.7,90.5,0,Body Slam;Fire Punch;Focus Punch;Twister;Dig;Flame Burst;Dynamic Punch;Overheat;Fly;Take Down;Secret Power;Bulldoze;Outrage;Solar Beam;Power-Up Punch;Ominous Wind;Rock Smash;Mega Kick;Inferno;Focus Blast;Skull Bash;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Steel Wing;Iron Tail;Scratch;Earthquake;Flame Charge;Thunder Punch;Bite;Slash;Air Slash;Fire Blast;Flamethrower;Echoed Voice;Dragon Claw;Fire Fang;Rage;Crunch;Ancient Power;Heat Wave;Sky Drop;Cut;Submission;Blast Burn;Fire Pledge;Facade;Hyper Beam;Dragon Pulse;Strength;Dragon Rush;Dragon Breath;Double-Edge;Incinerate;Wing Attack;Metal Claw;Ember;Mega Punch;Hidden Power;Brutal Swing;Fury Cutter;Air Cutter;Flare Blitz;Dragon Tail;Snore;Giga Impact,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
7,Squirtle,water,,44,48,65,50,64,43,1,0.5,9.0,0,Fake Out;Body Slam;Zen Headbutt;Focus Punch;Dig;Dynamic Punch;Confusion;Bubble;Scald;Take Down;Secret Power;Power-Up Punch;Muddy Water;Ice Punch;Rock Smash;Mega Kick;Skull Bash;Round;Brick Break;Headbutt;Mud-Slap;Brine;Iron Tail;Aqua Jet;Bite;Ice Beam;Rage;Waterfall;Rapid Spin;Water Gun;Surf;Submission;Facade;Rollout;Aqua Tail;Dragon Pulse;Strength;Water Spout;Double-Edge;Hydro Pump;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Water Pledge;Bubble Beam;Snore;Dive,After birth* its back swells and hardens into a shell. Powerfully sprays foam from its mouth.
8,Wartortle,water,,59,63,80,65,80,58,1,1.0,22.5,0,Fake Out;Body Slam;Zen Headbutt;Focus Punch;Dig;Dynamic Punch;Confusion;Bubble;Scald;Take Down;Secret Power;Power-Up Punch;Muddy Water;Ice Punch;Rock Smash;Mega Kick;Skull Bash;Round;Brick Break;Headbutt;Mud-Slap;Brine;Iron Tail;Aqua Jet;Bite;Ice Beam;Rage;Waterfall;Rapid Spin;Water Gun;Surf;Submission;Facade;Rollout;Aqua Tail;Dragon Pulse;Strength;Water Spout;Double-Edge;Hydro Pump;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Water Pledge;Bubble Beam;Snore;Dive,Often hides in water to stalk unwary prey. For swimming fast* it moves its ears to maintain balance.
9,Blastoise,water,,79,103,120,135,115,78,1,1.6,85.5,0,Fake Out;Body Slam;Zen Headbutt;Focus Punch;Dig;Dynamic Punch;Confusion;Bubble;Scald;Take Down;Secret Power;Bulldoze;Outrage;Power-Up Punch;Muddy Water;Ice Punch;Rock Smash;Mega Kick;Focus Blast;Skull Bash;Round;Avalanche;Brick Break;Headbutt;Mud-Slap;Rock Slide;Brine;Iron Tail;Earthquake;Aqua Jet;Bite;Ice Beam;Signal Beam;Flash Cannon;Dark Pulse;Smack Down;Rock Climb;Rage;Waterfall;Rapid Spin;Water Gun;Surf;Hydro Cannon;Submission;Facade;Hyper Beam;Rollout;Aqua Tail;Dragon Pulse;Strength;Water Spout;Double-Edge;Hydro Pump;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Water Pledge;Bubble Beam;Dragon Tail;Snore;Giga Impact;Dive,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
10,Caterpie,bug,,45,30,35,20,20,45,1,0.3,2.9,0,Bug Bite;Electroweb;Snore,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11,Metapod,bug,,50,20,55,25,25,30,1,0.7,9.9,0,Bug Bite;Electroweb;Snore,This POKéMON is vulnerable to attack while its shell is soft* exposing its weak and tender body.
